"행정동_ID","행정동_명칭","자치구_명칭","시도_명칭"
"1122068","내곡동","서초구","서울"
"1122067","양재2동","서초구","서울"
"1122066","양재1동","서초구","서울"
"1122065","방배4동","서초구","서울"
"1122064","방배3동","서초구","서울"
"1122063","방배2동","서초구","서울"
"1122062","방배1동","서초구","서울"
"1122061","방배본동","서초구","서울"
"1122060","반포4동","서초구","서울"
"1122059","반포3동","서초구","서울"
"1122058","반포2동","서초구","서울"
"1122057","반포1동","서초구","서울"
"1122056","반포본동","서초구","서울"
"1122055","잠원동","서초구","서울"
"1122054","서초4동","서초구","서울"
"1122053","서초3동","서초구","서울"
"1122052","서초2동","서초구","서울"
"1122051","서초1동","서초구","서울"
