template_idx,NL,NL_mask,entity_list,NL_substituted,Cypher,Cypher_mask,Cypher_substituted,weight,level
0,[mask_1]의 인구는 몇명이야? ,apt_name,신반포21차아파트,신반포21차아파트의 인구는 몇명이야? ,MATCH ([alpha] {name:’[mask_1]’}) RETURN [alpha].pop,apt_name,MATCH (k {name:’신반포21차아파트’}) RETURN k.pop,1,0
0,[mask_1]의 인구는 몇명이야? ,apt_name,방배래미안아파트,방배래미안아파트의 인구는 몇명이야? ,MATCH ([alpha] {name:’[mask_1]’}) RETURN [alpha].pop,apt_name,MATCH (n {name:’방배래미안아파트’}) RETURN n.pop,1,0
0,[mask_1]의 인구는 몇명이야? ,apt_name,아크로리버파크아파트,아크로리버파크아파트의 인구는 몇명이야? ,MATCH ([alpha] {name:’[mask_1]’}) RETURN [alpha].pop,apt_name,MATCH (n {name:’아크로리버파크아파트’}) RETURN n.pop,1,0
0,[mask_1]의 인구는 몇명이야? ,apt_name,방배자이아파트,방배자이아파트의 인구는 몇명이야? ,MATCH ([alpha] {name:’[mask_1]’}) RETURN [alpha].pop,apt_name,MATCH (n {name:’방배자이아파트’}) RETURN n.pop,1,0
0,[mask_1]의 인구는 몇명이야? ,apt_name,마제스타시티힐스테이트서리풀아파트,마제스타시티힐스테이트서리풀아파트의 인구는 몇명이야? ,MATCH ([alpha] {name:’[mask_1]’}) RETURN [alpha].pop,apt_name,MATCH (n {name:’마제스타시티힐스테이트서리풀아파트’}) RETURN n.pop,1,0
0,[mask_1]의 인구는 몇명이야? ,apt_name,신화아파트,신화아파트의 인구는 몇명이야? ,MATCH ([alpha] {name:’[mask_1]’}) RETURN [alpha].pop,apt_name,MATCH (k {name:’신화아파트’}) RETURN k.pop,1,0
0,[mask_1]의 인구는 몇명이야? ,apt_name,서초자이아파트,서초자이아파트의 인구는 몇명이야? ,MATCH ([alpha] {name:’[mask_1]’}) RETURN [alpha].pop,apt_name,MATCH (n {name:’서초자이아파트’}) RETURN n.pop,1,0
0,[mask_1]의 인구는 몇명이야? ,apt_name,서초네이처힐3단지아파트,서초네이처힐3단지아파트의 인구는 몇명이야? ,MATCH ([alpha] {name:’[mask_1]’}) RETURN [alpha].pop,apt_name,MATCH (n {name:’서초네이처힐3단지아파트’}) RETURN n.pop,1,0
0,[mask_1]의 인구는 몇명이야? ,apt_name,한라비발디스튜디오193(도시형)아파트,한라비발디스튜디오193(도시형)아파트의 인구는 몇명이야? ,MATCH ([alpha] {name:’[mask_1]’}) RETURN [alpha].pop,apt_name,MATCH (n {name:’한라비발디스튜디오193(도시형)아파트’}) RETURN n.pop,1,0
0,[mask_1]의 인구는 몇명이야? ,apt_name,반포르엘아파트,반포르엘아파트의 인구는 몇명이야? ,MATCH ([alpha] {name:’[mask_1]’}) RETURN [alpha].pop,apt_name,MATCH (n {name:’반포르엘아파트’}) RETURN n.pop,1,0
0,[mask_1]의 인구는 몇명이야? ,apt_name,신반포4차아파트,신반포4차아파트의 인구는 몇명이야? ,MATCH ([alpha] {name:’[mask_1]’}) RETURN [alpha].pop,apt_name,MATCH (k {name:’신반포4차아파트’}) RETURN k.pop,1,0
0,[mask_1]의 인구는 몇명이야? ,apt_name,방배e-편한세상1차아파트,방배e-편한세상1차아파트의 인구는 몇명이야? ,MATCH ([alpha] {name:’[mask_1]’}) RETURN [alpha].pop,apt_name,MATCH (n {name:’방배e-편한세상1차아파트’}) RETURN n.pop,1,0
0,[mask_1]의 인구는 몇명이야? ,apt_name,반포미도2차아파트,반포미도2차아파트의 인구는 몇명이야? ,MATCH ([alpha] {name:’[mask_1]’}) RETURN [alpha].pop,apt_name,MATCH (n {name:’반포미도2차아파트’}) RETURN n.pop,1,0
0,[mask_1]의 인구는 몇명이야? ,apt_name,힐스테이트서초젠트리스아파트,힐스테이트서초젠트리스아파트의 인구는 몇명이야? ,MATCH ([alpha] {name:’[mask_1]’}) RETURN [alpha].pop,apt_name,MATCH (n {name:’힐스테이트서초젠트리스아파트’}) RETURN n.pop,1,0
0,[mask_1]의 인구는 몇명이야? ,apt_name,현대성우아파트,현대성우아파트의 인구는 몇명이야? ,MATCH ([alpha] {name:’[mask_1]’}) RETURN [alpha].pop,apt_name,MATCH (n {name:’현대성우아파트’}) RETURN n.pop,1,0
0,[mask_1]의 인구는 몇명이야? ,apt_name,디에이치라클라스아파트,디에이치라클라스아파트의 인구는 몇명이야? ,MATCH ([alpha] {name:’[mask_1]’}) RETURN [alpha].pop,apt_name,MATCH (k {name:’디에이치라클라스아파트’}) RETURN k.pop,1,0
